,year,race_number,boat_type,section_code,lane,team,500m,1000m,1500m,2000m,order,qualify
0,2000,43,m1x,予選A組,3.0,小日向謙一(札幌RC),120.03,246.47,371.3,491.42,1.0,->Semi-Final
1,2000,43,m1x,予選A組,4.0,羅暁鋒(香港),127.38,255.55,381.0,502.09,2.0,
2,2000,43,m1x,予選A組,6.0,小谷和弘(東京医科歯科大学),121.81,250.18,379.4,504.23,3.0,
3,2000,43,m1x,予選A組,2.0,小泉誠史(龍谷大学),125.58,259.57,390.11,516.45,4.0,
4,2000,43,m1x,予選A組,5.0,清水秀哉(千葉大学),126.61,260.57,392.64,524.74,5.0,
5,2000,43,m1x,予選A組,1.0,金山大一郎(東京経済大学),128.12,263.39,397.28,531.93,6.0,
6,2000,44,m1x,予選B組,6.0,長谷等(中部電力),116.26,234.88,352.88,468.56,1.0,->Semi-Final
7,2000,44,m1x,予選B組,3.0,中尾慶(明治生命),126.41,253.64,378.49,499.38,2.0,
8,2000,44,m1x,予選B組,2.0,松岡紳ニ郎(秋艇会),121.46,257.1,396.4,527.62,3.0,
9,2000,44,m1x,予選B組,4.0,高崎将一(東京大学),134.71,272.65,408.56,539.09,4.0,
10,2000,44,m1x,予選B組,5.0,武富史暁(東京商船大学),157.14,308.16,452.24,585.54,5.0,
11,2000,44,m1x,予選B組,1.0,岐部佳史(国府台RC),145.84,296.54,448.08,598.24,6.0,
12,2000,45,m1x,予選C組,2.0,三本和明(東レ滋賀),114.36,232.2,359.24,475.86,1.0,->Semi-Final
13,2000,45,m1x,予選C組,6.0,上野晋(道新RC),120.73,246.3,371.84,505.36,2.0,
14,2000,45,m1x,予選C組,5.0,吉田賢司(三洋電機滋賀),122.52,251.19,381.39,514.67,3.0,
15,2000,45,m1x,予選C組,1.0,井上晋吾(兵庫大学),124.57,254.02,385.96,521.16,4.0,
16,2000,45,m1x,予選C組,4.0,楠本恭介(鹿屋体育大学),127.32,256.16,389.45,523.42,5.0,
17,2000,45,m1x,予選C組,3.0,林達郎(日本医科大学),127.56,246.3,397.14,538.8,6.0,
18,2000,46,m1x,予選D組,6.0,本宮弘(筑波大学),120.8,250.22,379.08,513.24,1.0,->Semi-Final
19,2000,46,m1x,予選D組,1.0,矢地洋二(中国電力),119.38,248.62,381.84,526.72,2.0,
